name,slug, km,date_of_information,ranking,region
"United States","united-states","293,564.2","2014",1,"North America"
"China","china","150,000","2021",2,"East and Southeast Asia"
"Russia","russia","85,494","2019",3,"Central Asia"
"India","india","65,554","2014",4,"South Asia"
"Canada","canada","49,422","2021",5,"North America"
"Germany","germany","39,379","2020",6,"Europe"
"Australia","australia","32,606","2022",7,"Australia and Oceania"
"South Africa","south-africa","30,400","2021",8,"Africa"
"Brazil","brazil","29,849.9","2014",9,"South America"
"France","france","27,860","2020",10,"Europe"
"Japan","japan","27,311","2015",11,"East and Southeast Asia"
"Mexico","mexico","23,389","2017",12,"North America"
"Ukraine","ukraine","21,733","2014",13,"Europe"
"Poland","poland","19,461","2020",14,"Europe"
"Italy","italy","18,475","2020",15,"Europe"
"Argentina","argentina","17,866","2018",16,"South America"
"Kazakhstan","kazakhstan","16,636","2021",17,"Central Asia"
"United Kingdom","united-kingdom","16,390","2020",18,"Europe"
"Spain","spain","15,489","2020",19,"Europe"
"Pakistan","pakistan","11,881","2021",20,"South Asia"
"Turkey (Turkiye)","turkey-turkiye","11,497","2018",21,"Middle East"
"Sweden","sweden","10,910","2020",22,"Europe"
"Romania","romania","10,628","2020",23,"Europe"
"Czechia","czechia","9,548","2020",24,"Europe"
"Iran","iran","8,483.5","2014",25,"Middle East"
"Cuba","cuba","8,367","2017",26,"Central America and the Caribbean"
"Indonesia","indonesia","8,159","2014",27,"East and Southeast Asia"
"Hungary","hungary","7,687","2020",28,"Europe"
"Korea, North","korea-north","7,435","2014",29,"East and Southeast Asia"
"Chile","chile","7,281.5","2014",30,"South America"
"Sudan","sudan","7,251","2014",31,"Africa"
"Austria","austria","6,123","2022",32,"Europe"
"Finland","finland","5,918","2020",33,"Europe"
"Belarus","belarus","5,528","2014",34,"Europe"
"Saudi Arabia","saudi-arabia","5,410","2016",35,"Middle East"
"Switzerland","switzerland","5,296","2020",36,"Europe"
"Turkmenistan","turkmenistan","5,113","2017",37,"Central Asia"
"Egypt","egypt","5,085","2014",38,"Africa"
"Burma","burma","5,031","2008",39,"East and Southeast Asia"
"Mozambique","mozambique","4,787","2014",40,"Africa"
"Uzbekistan","uzbekistan","4,642","2018",41,"Central Asia"
"New Zealand","new-zealand","4,128","2018",42,"Australia and Oceania"
"Thailand","thailand","4,127","2017",43,"East and Southeast Asia"
"Tanzania","tanzania","4,097","2022",44,"Africa"
"Bulgaria","bulgaria","4,029","2020",45,"Europe"
"Algeria","algeria","4,020","2019",46,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","4,007","2014",47,"Africa"
"Korea, South","korea-south","3,979","2016",48,"East and Southeast Asia"
"Bolivia","bolivia","3,960","2019",49,"South America"
"Norway","norway","3,848","2020",50,"Europe"
"Kenya","kenya","3,819","2018",51,"Africa"
"Nigeria","nigeria","3,798","2014",52,"Africa"
"Slovakia","slovakia","3,627","2020",53,"Europe"
"Belgium","belgium","3,602","2020",54,"Europe"
"Zimbabwe","zimbabwe","3,427","2014",55,"Africa"
"Serbia","serbia","3,333","2020",56,"Europe"
"Zambia","zambia","3,126","2014",57,"Africa"
"Netherlands","netherlands","3,055","2020",58,"Europe"
"Azerbaijan","azerbaijan","2,944.3","2017",59,"Middle East"
"Angola","angola","2,761","2022",60,"Africa"
"Denmark","denmark","2,682","2020",61,"Europe"
"Namibia","namibia","2,628","2014",62,"Africa"
"Croatia","croatia","2,617","2020",63,"Europe"
"Vietnam","vietnam","2,600","2014",64,"East and Southeast Asia"
"Portugal","portugal","2,526","2020",65,"Europe"
"Bangladesh","bangladesh","2,460","2014",66,"South Asia"
"Greece","greece","2,345","2020",67,"Europe"
"Iraq","iraq","2,272","2014",68,"Middle East"
"Latvia","latvia","2,216","2020",69,"Europe"
"Tunisia","tunisia","2,173","2014",70,"Africa"
"Colombia","colombia","2,141","2019",71,"South America"
"Morocco","morocco","2,067","2014",72,"Africa"
"Syria","syria","2,052","2014",73,"Middle East"
"Lithuania","lithuania","1,911","2020",74,"Europe"
"Peru","peru","1,854.4","2017",75,"South America"
"Malaysia","malaysia","1,851","2014",76,"East and Southeast Asia"
"Mongolia","mongolia","1,815","2017",77,"East and Southeast Asia"
"Ireland","ireland","1,688","2020",78,"Europe"
"Uruguay","uruguay","1,673","2016",79,"South America"
"Taiwan","taiwan","1,613.1","2018",80,"East and Southeast Asia"
"Sri Lanka","sri-lanka","1,562","2016",81,"South Asia"
"Israel","israel","1,497","2021",82,"Middle East"
"Estonia","estonia","1,441","2020",83,"Europe"
"Georgia","georgia","1,363","2014",84,"Middle East"
"Uganda","uganda","1,244","2014",85,"Africa"
"Slovenia","slovenia","1,207","2020",86,"Europe"
"Moldova","moldova","1,171","2014",87,"Europe"
"Guinea","guinea","1,086","2017",88,"Africa"
"Cameroon","cameroon","987","2014",89,"Africa"
"Ecuador","ecuador","965","2022",90,"South America"
"Bosnia and Herzegovina","bosnia-and-herzegovina","965","2014",91,"Europe"
"Ghana","ghana","947","2022",92,"Africa"
"Senegal","senegal","906","2017",93,"Africa"
"Botswana","botswana","888","2014",94,"Africa"
"Madagascar","madagascar","836","2018",95,"Africa"
"Guatemala","guatemala","800","2018",96,"Central America and the Caribbean"
"Malawi","malawi","767","2014",97,"Africa"
"Mauritania","mauritania","728","2014",98,"Africa"
"North Macedonia","north-macedonia","699","2020",99,"Europe"
"Honduras","honduras","699","2014",100,"Central America and the Caribbean"
"Armenia","armenia","686","2017",101,"Middle East"
"Tajikistan","tajikistan","680","2014",102,"Central Asia"
"Cote d'Ivoire","cote-divoire","660","2008",103,"Africa"
